feature,RF_SHAP_Importance,LR_Abs_Coefficient,Importance_Ratio,Importance_Difference
Passport,0.07031622745039244,0.17197983753260043,0.4088632019331924,-0.10166361008220799
Designation_Executive,0.03016354851941283,0.07466578586395141,0.4039808563776855,-0.04450223734453858
ProductPitched_Basic,0.02900686201448265,0.07466578586395141,0.3884893367203921,-0.04565892384946876
CityTier,0.028137132315118336,0.11420019825500938,0.2463842663907095,-0.08606306593989105
Age,0.024292525230520882,0.03242953785892652,0.7490863603148075,-0.008137012628405639
DurationOfPitch,0.02369379168185224,0.028790267041397234,0.8229791972684373,-0.005096475359544994
MaritalStatus_Single,0.020332172266868127,0.08198496829756478,0.24799877881361918,-0.061652796030696656
MonthlyIncome,0.019945476414417105,9.563101054317054e-05,208.56485502219206,0.019849845403873936
PreferredPropertyStar,0.017065284996541984,0.09325987722787213,0.18298635298283894,-0.07619459223133014
NumberOfFollowups,0.016627317324075852,0.13600444759735064,0.12225568718933619,-0.11937713027327479
MaritalStatus_Married,0.015117985236444089,0.07165387726490018,0.21098628019203353,-0.05653589202845609
NumberOfTrips,0.010647189382384691,0.052848135945315046,0.2014676391223013,-0.04220094656293036
ProductPitched_Deluxe,0.0098691686295434,0.07913345495989595,0.12471550129878059,-0.06926428633035255
PitchSatisfactionScore,0.009830447341854651,0.05633954804615408,0.17448572997631598,-0.04650910070429942
Designation_Manager,0.009772510963007243,0.07913345495989597,0.12349404994974378,-0.06936094399688873
MaritalStatus_Unmarried,0.008075343089026044,0.025071254291012465,0.32209568269686484,-0.016995911201986423
TypeofContact_Self Enquiry,0.007623305988078842,0.02605827180086769,0.29254839898003526,-0.018434965812788848
TypeofContact_Company Invited,0.006652117905081892,0.02649703400803523,0.2510514064333853,-0.019844916102953337
MaritalStatus_Divorced,0.0059036393932344,0.034963583116509524,0.16885109299897974,-0.029059943723275125
Occupation_Large Business,0.0058919912233139065,0.030359997584589793,0.19407086620565847,-0.024468006361275885
Gender_Male,0.005690463016221878,0.014515497696476856,0.39202669747771357,-0.008825034680254978
Gender_Female,0.005088901723671296,0.010749196575362035,0.47342154500308375,-0.0056602948516907385
Occupation_Salaried,0.004682578261803014,0.021630851192695883,0.21647682763900472,-0.01694827293089287
Occupation_Small Business,0.004638824157098893,0.00993636437288289,0.46685321875930635,-0.005297540215783998
OwnCar,0.003996323608046797,0.0059669213608683274,0.6697462052221571,-0.00197059775282153
NumberOfPersonVisiting,0.003952739076064102,0.003911462214733163,1.0105525372641795,4.1276861330939545e-05
NumberOfChildrenVisiting,0.0035799357995989563,0.009065782942697666,0.39488430589420054,-0.00548584714309871
ProductPitched_Standard,0.0033109821381836287,0.007508590653413836,0.4409591426746807,-0.004197608515230208
Designation_Senior Manager,0.0031896865237053787,0.007508590653413838,0.4248048996318988,-0.004318904129708459
Designation_AVP,0.0022423808067266638,0.0053504633214338645,0.4191002260764035,-0.0031080825147072008
ProductPitched_Super Deluxe,0.0018134500763323743,0.0053504633214338645,0.3389332153973489,-0.00353701324510149
Gender_Fe Male,0.0006849973116072612,0.003327538913946858,0.20585697822472487,-0.0026425416023395966
ProductPitched_King,0.0002674762087835529,0.002748303971132197,0.0973240639569061,-0.002480827762348644
Designation_VP,0.00025194211795215283,0.0027483039711321973,0.09167181975745663,-0.0024963618531800447
Occupation_Free Lancer,7.178089425305327e-05,0.0016459801881565954,0.04360979017837,-0.001574199293903542
